product_id,category,price
1144,Home,$944.44
1145,Auto,$944.80
1146,Tech,$868.52
1147,Tech,$640.03
1148,Tech,$802.93
1149,Auto,$680.39
1150,Auto,$577.63
1151,Home,$137.21
1152,Auto,$813.08
1153,Tech,$822.42
1154,Tech,$629.67
1155,Auto,$822.21
1156,Tech,$654.96
1157,Tech,$214.62
1158,Auto,$281.22
1159,Auto,$222.44
1160,Tech,$383.48
1161,Tech,$48.57
1162,Tech,$622.07
1163,Home,$343.19
1164,Home,$659.16
1165,Home,$391.54
1166,Auto,$684.79
1167,Home,$347.21
1168,Auto,$268.08
1169,Auto,$501.07
1170,Home,$695.95
1171,Home,$354.85
1172,Home,$937.27
1173,Tech,$48.79
1174,Home,$423.76
1175,Tech,$967.90
1176,Auto,$552.49
1177,Tech,$429.23
1178,Home,$572.83
1179,Auto,$580.16
1180,Auto,$734.32
1181,Auto,$136.41
1182,Tech,$257.51
1183,Home,$584.73
1184,Auto,$868.44
1185,Auto,$566.24
1186,Auto,$246.21
1187,Tech,$683.04
1188,Tech,$742.50
1189,Home,$245.85
1190,Tech,$383.95
1191,Auto,$538.98
1192,Home,$501.59
1193,Auto,$395.72
1194,Auto,$304.66
1195,Tech,$108.98
1196,Home,$62.95
1197,Tech,$958.95
1198,Tech,$848.66
1199,Home,$361.35
1200,Auto,$957.22
1201,Auto,$680.00
1202,Home,$487.69
1203,Auto,$498.09
1204,Home,$92.45
1205,Home,$100.79
1206,Tech,$606.41
1207,Home,$558.16
1208,Tech,$220.60
1209,Auto,$946.72
1210,Auto,$783.48
1211,Auto,$122.33
1212,Auto,$931.61
1213,Tech,$974.50
1214,Auto,$995.96
1215,Home,$65.31
1216,Home,$739.66
1217,Home,$550.45
1218,Tech,$708.77
1219,Auto,$968.96
1220,Auto,$691.14
1221,Auto,$838.59
1222,Tech,$868.19
1223,Home,$840.09
1224,Home,$431.83
1225,Auto,$230.35
1226,Home,$402.68
1227,Home,$892.97
1228,Tech,$155.14
1229,Tech,$518.19
1230,Tech,$240.89
1231,Tech,$585.49
1232,Auto,$864.50
1233,Tech,$881.55
1234,Home,$244.32
1235,Auto,$908.61
1236,Home,$595.96
1237,Home,$356.71
1238,Home,$711.09
1239,Tech,$486.85
1240,Tech,$384.20
1241,Auto,$708.03
1242,Auto,$256.23
1243,Tech,$336.95
1244,Home,$440.10
1245,Auto,$261.14
1246,Tech,$411.15
1247,Tech,$575.75
1248,Tech,$743.56
1249,Home,$769.52
1250,Tech,$824.55
1251,Tech,$746.76
1252,Tech,$684.22
1253,Tech,$245.13
1254,Auto,$406.22
1255,Auto,$482.93
1256,Tech,$92.06
1257,Home,$533.08
1258,Auto,$441.97
1259,Tech,$804.08
1260,Auto,$978.11
1261,Auto,$560.44
1262,Home,$329.46
1263,Tech,$52.97
1264,Tech,$925.39
1265,Home,$919.92
1266,Home,$260.46
1267,Tech,$698.45
1268,Tech,$84.68
1269,Home,$174.55
1270,Auto,$224.64
1271,Auto,$301.55
1272,Home,$995.86
1273,Auto,$699.95
1274,Home,$390.36
1275,Auto,$739.72
1276,Auto,$916.09
1277,Tech,$959.11
1278,Tech,$67.28
1279,Auto,$400.57
1280,Auto,$115.69
1281,Tech,$342.30
1282,Tech,$177.98
1283,Tech,$650.37
1284,Home,$394.38
1285,Auto,$237.10
1286,Tech,$273.28
1287,Auto,$366.74
1288,Home,$267.35
1289,Home,$458.70
1290,Tech,$41.99
1291,Home,$286.96
1292,Auto,$417.09
1293,Tech,$606.75
1294,Auto,$278.25
1295,Auto,$141.85
1296,Home,$85.44
1297,Home,$941.12
1298,Home,$422.47
1299,Home,$585.35
1300,Home,$919.98
1204,Home,$92.45
1267,Tech,$698.45
1153,Tech,$822.42
1010,Tech,$314.98
1234,Home,$244.32
